,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
0,0.096995,0.1176723076923077,0.18798999999999996,0.2928057142857143,0.3269566666666666,0.35403333333333337,0.3766925,0.38868,0.39259000000000005,0.410004,0.5516342105263158,0.45239108108108106
1,0.09834249999999999,0.1204253846153846,0.20814285714285713,0.35163142857142854,0.3914866666666666,0.42190666666666665,0.440555,0.43898695652173914,0.436578,0.44398,0.5809515789473685,0.4393383783783783
2,0.088445,0.10861923076923077,0.20507857142857144,0.3955528571428571,0.4385033333333333,0.47284666666666664,0.4807575,0.45487956521739137,0.44213800000000003,0.440076,0.5946126315789474,0.3963729729729731
3,0.104765,0.1296276923076923,0.22968857142857144,0.45647714285714286,0.51005,0.5440066666666666,0.5507625,0.5257439130434783,0.51364,0.518688,0.7101752631578947,0.4196954054054053
4,0.07437,0.09218230769230769,0.1778657142857143,0.4427114285714286,0.49801,0.53475,0.5277375,0.48913304347826086,0.47269000000000005,0.491176,0.7229894736842105,0.46151378378378377
5,0.0822725,0.10272769230769233,0.19479714285714286,0.4401042857142858,0.49154666666666663,0.52587,0.52861,0.5009508695652175,0.488214,0.501584,0.7135510526315789,0.47254810810810816
6,0.0875,0.11055923076923078,0.20665857142857139,0.4455114285714286,0.49701666666666666,0.5320033333333334,0.538215,0.5158721739130435,0.505126,0.516582,0.7129747368421052,0.4629302702702702
7,0.06997750000000001,0.08482999999999999,0.1676271428571429,0.2831857142857143,0.31100666666666665,0.3369533333333334,0.3444625,0.32299739130434785,0.312462,0.30659,0.43874894736842096,0.3462037837837838
8,0.0639575,0.07751692307692307,0.16207,0.2891785714285714,0.3184666666666667,0.34593999999999997,0.350835,0.32277347826086955,0.309132,0.30008,0.4324021052631579,0.3367883783783784
9,0.0629425,0.07529846153846152,0.15555857142857143,0.2876828571428572,0.3184633333333333,0.34783000000000003,0.35287749999999996,0.3233395652173913,0.309138,0.30056000000000005,0.4427173684210526,0.34210702702702694
10,0.0756525,0.09195461538461538,0.20133857142857142,0.3318642857142858,0.36093333333333333,0.39182333333333336,0.396875,0.36223347826086955,0.34565799999999997,0.33016000000000006,0.4706178947368422,0.3641586486486486
11,0.025922499999999998,0.03010923076923077,0.05238571428571428,0.12520714285714288,0.14149,0.15089,0.15166,0.14580217391304345,0.143072,0.146474,0.14213263157894734,0.15103567567567563
12,0.0262325,0.030532307692307695,0.053372857142857145,0.13049714285714287,0.14702666666666667,0.15691666666666668,0.1557675,0.14816782608695653,0.144578,0.14746,0.14000000000000004,0.1480786486486486
13,0.0262325,0.030107692307692304,0.05108571428571429,0.12720142857142858,0.14403,0.15306,0.15241000000000002,0.14446565217391302,0.141098,0.144492,0.13602736842105265,0.1453467567567568
14,0.026354999999999996,0.030376153846153844,0.05201857142857143,0.12999999999999998,0.14805333333333334,0.1569,0.15641,0.14818652173913044,0.144572,0.14749400000000001,0.1381326315789474,0.14771081081081075
15,0.025325,0.02910615384615385,0.05007857142857143,0.12969142857142857,0.14802,0.15791666666666668,0.156415,0.14755826086956517,0.143578,0.146492,0.13513263157894734,0.14571135135135133
16,0.0242275,0.02726076923076923,0.04645,0.12220285714285715,0.13903,0.14805000000000001,0.1467625,0.13773565217391304,0.133578,0.135474,0.1253421052631579,0.13650810810810812
